/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 18
[VAL] joint mae: 0.02356, accel diff: 0.00348, FGD: 12.235, diversity_score: 92.772, BC: 0.742, BC 0.07: 0.734, Symetric_BC: 1.537, feat_D: 61.493 / 165.5s
[VAL] joint mae: 0.02390, accel diff: 0.00375, FGD: 11.786, diversity_score: 97.895, BC: 0.736, BC 0.07: 0.729, Symetric_BC: 1.530, feat_D: 62.152 / 160.6s
[VAL] joint mae: 0.02369, accel diff: 0.00361, FGD: 12.048, diversity_score: 95.504, BC: 0.736, BC 0.07: 0.727, Symetric_BC: 1.531, feat_D: 61.541 / 159.5s
[VAL] joint mae: 0.02388, accel diff: 0.00359, FGD: 11.480, diversity_score: 90.202, BC: 0.736, BC 0.07: 0.728, Symetric_BC: 1.530, feat_D: 61.735 / 160.4s
[VAL] joint mae: 0.02383, accel diff: 0.00354, FGD: 12.183, diversity_score: 92.251, BC: 0.731, BC 0.07: 0.722, Symetric_BC: 1.526, feat_D: 61.932 / 162.7s
[VAL] joint mae: 0.02399, accel diff: 0.00359, FGD: 12.478, diversity_score: 94.586, BC: 0.730, BC 0.07: 0.722, Symetric_BC: 1.526, feat_D: 62.119 / 158.6s
[VAL] joint mae: 0.02397, accel diff: 0.00354, FGD: 11.829, diversity_score: 91.897, BC: 0.729, BC 0.07: 0.721, Symetric_BC: 1.525, feat_D: 62.201 / 163.3s
[VAL] joint mae: 0.02403, accel diff: 0.00365, FGD: 11.355, diversity_score: 95.795, BC: 0.728, BC 0.07: 0.720, Symetric_BC: 1.524, feat_D: 62.476 / 162.4s
[VAL] joint mae: 0.02388, accel diff: 0.00351, FGD: 11.080, diversity_score: 98.565, BC: 0.728, BC 0.07: 0.719, Symetric_BC: 1.523, feat_D: 62.394 / 159.2s
[VAL] joint mae: 0.02406, accel diff: 0.00346, FGD: 10.143, diversity_score: 99.099, BC: 0.725, BC 0.07: 0.715, Symetric_BC: 1.520, feat_D: 62.867 / 164.7s
[VAL] joint mae: 0.02416, accel diff: 0.00354, FGD: 10.197, diversity_score: 96.623, BC: 0.724, BC 0.07: 0.716, Symetric_BC: 1.520, feat_D: 63.103 / 158.3s
[VAL] joint mae: 0.02389, accel diff: 0.00352, FGD: 10.441, diversity_score: 98.972, BC: 0.722, BC 0.07: 0.713, Symetric_BC: 1.517, feat_D: 62.375 / 160.0s
[VAL] joint mae: 0.02394, accel diff: 0.00344, FGD: 10.766, diversity_score: 95.457, BC: 0.726, BC 0.07: 0.717, Symetric_BC: 1.522, feat_D: 62.053 / 161.6s
[VAL] joint mae: 0.02386, accel diff: 0.00343, FGD: 12.323, diversity_score: 94.902, BC: 0.732, BC 0.07: 0.721, Symetric_BC: 1.527, feat_D: 62.025 / 158.5s
[VAL] joint mae: 0.02419, accel diff: 0.00367, FGD: 10.233, diversity_score: 96.019, BC: 0.731, BC 0.07: 0.722, Symetric_BC: 1.525, feat_D: 62.861 / 163.6s
[VAL] joint mae: 0.02405, accel diff: 0.00364, FGD: 10.930, diversity_score: 100.267, BC: 0.727, BC 0.07: 0.716, Symetric_BC: 1.523, feat_D: 62.395 / 158.4s
[VAL] joint mae: 0.02386, accel diff: 0.00358, FGD: 10.537, diversity_score: 98.773, BC: 0.727, BC 0.07: 0.717, Symetric_BC: 1.522, feat_D: 62.112 / 163.0s
[VAL] joint mae: 0.02384, accel diff: 0.00343, FGD: 10.778, diversity_score: 96.785, BC: 0.728, BC 0.07: 0.717, Symetric_BC: 1.524, feat_D: 61.980 / 163.1s
[VAL] joint mae: 0.02412, accel diff: 0.00349, FGD: 10.002, diversity_score: 91.487, BC: 0.725, BC 0.07: 0.716, Symetric_BC: 1.521, feat_D: 62.841 / 158.2s
[VAL] joint mae: 0.02435, accel diff: 0.00363, FGD: 9.303, diversity_score: 96.181, BC: 0.727, BC 0.07: 0.718, Symetric_BC: 1.521, feat_D: 62.998 / 162.9s
[VAL] joint mae: 0.02444, accel diff: 0.00358, FGD: 9.335, diversity_score: 99.520, BC: 0.724, BC 0.07: 0.715, Symetric_BC: 1.518, feat_D: 63.311 / 161.2s
